year,state,county,county_code,county_population,annual_adj_deaths,annual_crude_rate_10k
2018,TX,Kleberg,48273,31129,175,56.21767483696874
2018,TX,Knox,48275,3653,39,106.76156583629894
2018,TX,Lamar,48277,49728,375,75.41023166023166
2018,TX,Lamb,48279,13158,111,84.359325125399
2018,TX,Lampasas,48281,21229,143,67.36068585425598
2018,TX,La Salle,48283,7531,42,55.769486124020716
2018,TX,Lavaca,48285,20110,180,89.50770760815514
2018,TX,Lee,48287,17144,116,67.66215585627624
2018,TX,Leon,48289,17270,120,69.48465547191662
2018,TX,Liberty,48291,86323,445,51.550571690047846
2018,TX,Limestone,48293,23519,201,85.46281729665378
2018,TX,Lipscomb,48295,3355,23,68.55439642324889
2018,TX,Live Oak,48297,12166,63,51.783659378596084
2018,TX,Llano,48299,21646,200,92.39582370876836
2018,TX,Loving,48301,152,0,0
2018,TX,Lubbock,48303,307412,1695,55.13773047246041
2018,TX,Lynn,48305,5877,37,62.95729113493279
2018,TX,McCulloch,48307,7987,69,86.39038437460874
2018,TX,McLennan,48309,254607,1516,59.54274627170502
2018,TX,McMullen,48311,749,1,13.35113484646195
2018,TX,Madison,48313,14422,101,70.03189571488005
2018,TX,Marion,48315,9928,89,89.64544721998388
2018,TX,Martin,48317,5753,48,83.43472970624022
2018,TX,Mason,48319,4280,21,49.06542056074766
2018,TX,Matagorda,48321,36552,233,63.74480192602319
2018,TX,Maverick,48323,58485,285,48.73044370351372
2018,TX,Medina,48325,50921,263,51.64863219496867
2018,TX,Menard,48327,2139,26,121.55212716222535
2018,TX,Midland,48329,172578,698,40.445479725109806
2018,TX,Milam,48331,25131,179,71.22677171620707
2018,TX,Mills,48333,4921,59,119.89433042064621
2018,TX,Mitchell,48335,8145,51,62.61510128913444
2018,TX,Montague,48337,19596,172,87.77301490100021
2018,TX,Montgomery,48339,590925,2102,35.57135000211533
2018,TX,Moore,48341,21485,111,51.66395159413545
2018,TX,Morris,48343,12339,121,98.06305211119215
2018,TX,Motley,48345,1234,11,89.14100486223663
2018,TX,Nacogdoches,48347,65711,385,58.589886016039934
2018,TX,Navarro,48349,49565,340,68.5967920911934
2018,TX,Newton,48351,13746,93,67.65604539502401
2018,TX,Nolan,48353,14751,119,80.67249677987934
2018,TX,Nueces,48355,362265,1687,46.56812002263536
2018,TX,Ochiltree,48357,9947,46,46.24509902483161
2018,TX,Oldham,48359,2131,11,51.618958235570155
2018,TX,Orange,48361,83572,565,67.60637534102331
2018,TX,Palo Pinto,48363,28875,206,71.34199134199135
2018,TX,Panola,48365,23148,158,68.25643684119578
2018,TX,Parker,48367,138371,730,52.75671925475714
2018,TX,Parmer,48369,9864,51,51.70316301703163
2018,TX,Pecos,48371,15673,83,52.95731512792701
2018,TX,Polk,48373,50031,404,80.74993504027503
2018,TX,Potter,48375,119648,778,65.0240706071142
2018,TX,Presidio,48377,6948,27,38.860103626943
2018,TX,Rains,48379,12159,90,74.01924500370096
2018,TX,Randall,48381,136271,625,45.86449061062149
2018,TX,Reagan,48383,3741,18,48.115477145148354
2018,TX,Real,48385,3478,34,97.757331799885
2018,TX,Red River,48387,12175,111,91.17043121149898
2018,TX,Reeves,48389,15695,82,52.24593819687799
2018,TX,Refugio,48391,7032,53,75.36973833902161
2018,TX,Roberts,48393,903,1,11.074197120708748
2018,TX,Robertson,48395,17284,114,65.95695440870169
2018,TX,Rockwall,48397,100657,449,44.606932453778676
2018,TX,Runnels,48399,10234,93,90.8735587258159
